"Season","Name","Team","G","AB","PA","H","R","RBI","HR","BB","SO","IBB","AVG","OBP","SLG","OPS","wRC+","WAR","OBP+","TTO%","playerid"
"2002","Barry Bonds","Giants","143","403","612","149","117","110","46","198","47","68",".370",".582",".799","1.381","244","12.7","171","47.6 %","1109"
"2004","Barry Bonds","Giants","147","373","617","135","129","101","45","232","41","120",".362",".609",".812","1.422","233","11.9","179","51.5 %","1109"
"2001","Barry Bonds","Giants","153","476","664","156","129","137","73","177","93","35",".328",".515",".863","1.379","235","12.5","152","51.7 %","1109"
"2003","Barry Bonds","Giants","130","390","550","133","111","90","45","148","58","61",".341",".529",".749","1.278","212","10.2","155","45.6 %","1109"
"1998","Mark McGwire","Cardinals","155","509","681","152","130","147","70","162","155","28",".299",".470",".752","1.222","205","8.5","138","56.8 %","1008559"
"1996","Mark McGwire","Athletics","130","423","548","132","104","113","52","116","112","16",".312",".467",".730","1.198","190","7.3","133","51.1 %","1008559"
"1997","Larry Walker","Rockies","153","568","664","208","143","130","49","78","90","14",".366",".452",".720","1.172","177","9.1","132","32.7 %","455"
"1999","Larry Walker","Rockies","127","438","513","166","108","115","37","57","52","8",".379",".458",".710","1.168","167","4.7","130","28.5 %","455"
"2000","Manny Ramirez","Indians","118","439","532","154","92","122","38","86","117","9",".351",".457",".697","1.154","181","4.8","131","45.3 %","210"
"2000","Todd Helton","Rockies","160","580","697","216","138","147","42","103","61","22",".372",".463",".698","1.162","162","8.3","132","29.6 %","432"
"2000","Carlos Delgado","Blue Jays","162","569","711","196","115","137","41","123","104","18",".344",".470",".664","1.134","179","7.4","135","37.7 %","1297"
"2000","Jason Giambi","Athletics","152","510","664","170","108","137","43","137","96","6",".333",".476",".647","1.123","183","7.7","136","41.6 %","818"
"1995","Edgar Martinez","Mariners","145","511","639","182","121","113","29","116","87","19",".356",".479",".628","1.107","182","7.0","139","36.3 %","1086"
"2001","Jason Giambi","Athletics","154","520","671","178","109","120","38","129","83","24",".342",".477",".660","1.137","193","9.2","143","37.3 %","818"
"2001","Sammy Sosa","Cubs","160","577","711","189","146","160","64","116","153","37",".328",".437",".737","1.174","186","9.9","129","46.8 %","302"
